index,Fuel consumption,ME fuel consumption (kg LNG),DG fuel consumption (kg Diesel),ME load_perc,DG load_perc,MSO-mode,Speed,Current direction,Current magnitude,Wind direction,Wind magnitude
0,2.6589496859665984,2.6589496859665984,0.0,0.09560957958365489,0.0,PTO,1.0,0.0,0,0,0
1,2.659716635014548,2.659716635014548,0.0,0.09563937949115163,0.0,PTO,1.0,0.0,0,0,2
2,2.66318035410908,2.66318035410908,0.0,0.09577272035308498,0.0,PTO,1.0,0.0,0,0,5
3,2.670877510766685,2.670877510766685,0.0,0.09606851522997527,0.0,PTO,1.0,0.0,0,0,8
4,2.682488575055361,2.682488575055361,0.0,0.09651681801075548,0.0,PTO,1.0,0.0,0,0,11
5,2.7021928628824092,2.7021928628824092,0.0,0.09727641993987264,0.0,PTO,1.0,0.0,0,0,14
6,2.7218396810018564,2.7218396810018564,0.0,0.09803785328752967,0.0,PTO,1.0,0.0,0,0,17
7,2.7516270512888603,2.7516270512888603,0.0,0.09919253565952511,0.0,PTO,1.0,0.0,0,0,20
8,3.5263139541480824,3.5263139541480824,0.0,0.1302002759821782,0.0,PTO,1.0,0.0,2,0,0
9,3.529819906103379,3.529819906103379,0.0,0.13033868092170275,0.0,PTO,1.0,0.0,2,0,2
10,3.541385325686341,3.541385325686341,0.0,0.1308130829785778,0.0,PTO,1.0,0.0,2,0,5
11,3.5622540741527033,3.5622540741527033,0.0,0.1316754567791424,0.0,PTO,1.0,0.0,2,0,8
12,3.5932087232132077,3.5932087232132077,0.0,0.13295624338428108,0.0,PTO,1.0,0.0,2,0,11
13,3.635490016692555,3.635490016692555,0.0,0.13470680586297099,0.0,PTO,1.0,0.0,2,0,14
14,3.689532439249674,3.689532439249674,0.0,0.13694878213429135,0.0,PTO,1.0,0.0,2,0,17
15,3.7542267838902292,3.7542267838902292,0.0,0.1396493555400364,0.0,PTO,1.0,0.0,2,0,20
16,4.898949484745013,4.898949484745013,0.0,0.18905355260148574,0.0,PTO,1.0,0.0,4,0,0
17,4.902837560283488,4.902837560283488,0.0,0.18922604340721397,0.0,PTO,1.0,0.0,4,0,2
18,4.918744323429409,4.918744323429409,0.0,0.18993928874319704,0.0,PTO,1.0,0.0,4,0,5
19,4.9477225052393505,4.9477225052393505,0.0,0.19123579598575105,0.0,PTO,1.0,0.0,4,0,8
20,4.990958440244781,4.990958440244781,0.0,0.1931607770282483,0.0,PTO,1.0,0.0,4,0,11
21,5.047419831680007,5.047419831680007,0.0,0.1956850190306105,0.0,PTO,1.0,0.0,4,0,14
22,5.117826924243476,5.117826924243476,0.0,0.19884053368028337,0.0,PTO,1.0,0.0,4,0,17
23,5.202509978792482,5.202509978792482,0.0,0.20264851744837645,0.0,PTO,1.0,0.0,4,0,20
24,6.521242316578964,6.521242316578964,0.0,0.26312680194895305,0.0,PTO,1.0,0.0,6,0,0
25,6.526798806498234,6.526798806498234,0.0,0.2633865586423262,0.0,PTO,1.0,0.0,6,0,2
26,6.547548446842321,6.547548446842321,0.0,0.26435452351566213,0.0,PTO,1.0,0.0,6,0,5
27,6.583748646118476,6.583748646118476,0.0,0.2660390576095326,0.0,PTO,1.0,0.0,6,0,8
28,6.634815610687948,6.634815610687948,0.0,0.2684253106193307,0.0,PTO,1.0,0.0,6,0,11
29,6.702148970688865,6.702148970688865,0.0,0.2715623660820772,0.0,PTO,1.0,0.0,6,0,14
30,6.784825557480553,6.784825557480553,0.0,0.27542677551934935,0.0,PTO,1.0,0.0,6,0,17
31,6.88407357155466,6.88407357155466,0.0,0.28006376564869295,0.0,PTO,1.0,0.0,6,0,20
32,2.6589496859665984,2.6589496859665984,0.0,0.09560957958365489,0.0,PTO,1.0,1.5707963267948966,0,0,0
33,2.659716635014548,2.659716635014548,0.0,0.09563937949115163,0.0,PTO,1.0,1.5707963267948966,0,0,2
34,2.66318035410908,2.66318035410908,0.0,0.09577272035308498,0.0,PTO,1.0,1.5707963267948966,0,0,5
35,2.670877510766685,2.670877510766685,0.0,0.09606851522997527,0.0,PTO,1.0,1.5707963267948966,0,0,8
36,2.682488575055361,2.682488575055361,0.0,0.09651681801075548,0.0,PTO,1.0,1.5707963267948966,0,0,11
37,2.7021928628824092,2.7021928628824092,0.0,0.09727641993987264,0.0,PTO,1.0,1.5707963267948966,0,0,14
38,2.7218396810018564,2.7218396810018564,0.0,0.09803785328752967,0.0,PTO,1.0,1.5707963267948966,0,0,17
39,2.7516270512888603,2.7516270512888603,0.0,0.09919253565952511,0.0,PTO,1.0,1.5707963267948966,0,0,20
40,2.6613819813638186,2.6613819813638186,0.0,0.09570376318042628,0.0,PTO,1.0,1.5707963267948966,2,0,0
41,2.6579366526429338,2.6579366526429338,0.0,0.09557020352086103,0.0,PTO,1.0,1.5707963267948966,2,0,2
42,2.647415225934972,2.647415225934972,0.0,0.09516595707891094,0.0,PTO,1.0,1.5707963267948966,2,0,5
43,2.6409921624300012,2.6409921624300012,0.0,0.09491869353297058,0.0,PTO,1.0,1.5707963267948966,2,0,8
44,2.6345729165247933,2.6345729165247933,0.0,0.09467155837483016,0.0,PTO,1.0,1.5707963267948966,2,0,11
45,2.625884350179177,2.625884350179177,0.0,0.09433772199412624,0.0,PTO,1.0,1.5707963267948966,2,0,14
46,2.611787216706984,2.611787216706984,0.0,0.09379761558497753,0.0,PTO,1.0,1.5707963267948966,2,0,17
47,2.5989062238696725,2.5989062238696725,0.0,0.09330526237591666,0.0,PTO,1.0,1.5707963267948966,2,0,20
